storyid	questionid	answer_sentenceid	answer
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q0	a111d580-1fb2-4ab1-848a-0856982dfcd5_0	a bottle of beer
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q1	a111d580-1fb2-4ab1-848a-0856982dfcd5_1	a popping noise
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q2	a111d580-1fb2-4ab1-848a-0856982dfcd5_2	it burst
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q3	a111d580-1fb2-4ab1-848a-0856982dfcd5_4	warm beer
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q0	790d9cb4-4832-49e8-8137-331e79a4b9e6_0	Chistmas
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q1	790d9cb4-4832-49e8-8137-331e79a4b9e6_2	presents
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q2	790d9cb4-4832-49e8-8137-331e79a4b9e6_1	the tree
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q3	790d9cb4-4832-49e8-8137-331e79a4b9e6_3	all of them
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q0	e663b977-2af7-4b1d-bd33-352d932f851b_0	her local fast food establishment
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q1	e663b977-2af7-4b1d-bd33-352d932f851b_1	No, she hated it
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q2	e663b977-2af7-4b1d-bd33-352d932f851b_2	her employees
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q3	e663b977-2af7-4b1d-bd33-352d932f851b_3	the cook
375c34c9-3d98-4b2f-9076-404f34ad4e66	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q0	375c34c9-3d98-4b2f-9076-404f34ad4e66_0	his dog was showing aggression
375c34c9-3d98-4b2f-9076-404f34ad4e66	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q1	375c34c9-3d98-4b2f-9076-404f34ad4e66_2	his veterinarian
375c34c9-3d98-4b2f-9076-404f34ad4e66	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q2	375c34c9-3d98-4b2f-9076-404f34ad4e66_3	the dog had a flea infestation
375c34c9-3d98-4b2f-9076-404f34ad4e66	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q3	375c34c9-3d98-4b2f-9076-404f34ad4e66_4	some medication
6ebc8d48-029b-4f00-89b3-773ce802825e	6ebc8d48-029b-4f00-89b3-773ce802825e_Q0	6ebc8d48-029b-4f00-89b3-773ce802825e_0	to the lake
6ebc8d48-029b-4f00-89b3-773ce802825e	6ebc8d48-029b-4f00-89b3-773ce802825e_Q1	6ebc8d48-029b-4f00-89b3-773ce802825e_1	in a nice cabin
6ebc8d48-029b-4f00-89b3-773ce802825e	6ebc8d48-029b-4f00-89b3-773ce802825e_Q2	6ebc8d48-029b-4f00-89b3-773ce802825e_2	they went boating
6ebc8d48-029b-4f00-89b3-773ce802825e	6ebc8d48-029b-4f00-89b3-773ce802825e_Q3	6ebc8d48-029b-4f00-89b3-773ce802825e_4	they decided to buy a lake house
5e76713f-92b2-4a5d-8f8d-510fde45705c	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q0	5e76713f-92b2-4a5d-8f8d-510fde45705c_0	Universal Studios
5e76713f-92b2-4a5d-8f8d-510fde45705c	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q1	5e76713f-92b2-4a5d-8f8d-510fde45705c_1	to go on all the rides
5e76713f-92b2-4a5d-8f8d-510fde45705c	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q2	5e76713f-92b2-4a5d-8f8d-510fde45705c_2	a lot of the characters
5e76713f-92b2-4a5d-8f8d-510fde45705c	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q3	5e76713f-92b2-4a5d-8f8d-510fde45705c_3	three days
712702cc-f042-4ca5-84dc-ada756cc8959	712702cc-f042-4ca5-84dc-ada756cc8959_Q0	712702cc-f042-4ca5-84dc-ada756cc8959_0	to a restaurant
712702cc-f042-4ca5-84dc-ada756cc8959	712702cc-f042-4ca5-84dc-ada756cc8959_Q1	712702cc-f042-4ca5-84dc-ada756cc8959_0	fries
712702cc-f042-4ca5-84dc-ada756cc8959	712702cc-f042-4ca5-84dc-ada756cc8959_Q2	712702cc-f042-4ca5-84dc-ada756cc8959_2	ketchup
712702cc-f042-4ca5-84dc-ada756cc8959	712702cc-f042-4ca5-84dc-ada756cc8959_Q3	712702cc-f042-4ca5-84dc-ada756cc8959_3	No
61550fe1-c17d-4b94-b225-941026bdb68e	61550fe1-c17d-4b94-b225-941026bdb68e_Q0	61550fe1-c17d-4b94-b225-941026bdb68e_0	a new hobby
61550fe1-c17d-4b94-b225-941026bdb68e	61550fe1-c17d-4b94-b225-941026bdb68e_Q1	61550fe1-c17d-4b94-b225-941026bdb68e_1	to the craft store
61550fe1-c17d-4b94-b225-941026bdb68e	61550fe1-c17d-4b94-b225-941026bdb68e_Q2	61550fe1-c17d-4b94-b225-941026bdb68e_2	an amazing masterpiece
61550fe1-c17d-4b94-b225-941026bdb68e	61550fe1-c17d-4b94-b225-941026bdb68e_Q3	61550fe1-c17d-4b94-b225-941026bdb68e_4	in her kitchen
mc500.train.0	mc500.train.0_Q0	mc500.train.0_4	visit some friends
mc500.train.0	mc500.train.0_Q1	mc500.train.0_14	a salad
mc500.train.0	mc500.train.0_Q2	mc500.train.0_15	Kristin
mc500.train.0	mc500.train.0_Q3	mc500.train.0_2	Atlanta
mc500.train.0	mc500.train.0_Q4	mc500.train.0_20	spend time with her friends
mc500.train.0	mc500.train.0_Q5	mc500.train.0_19	they were tired.
mc500.train.0	mc500.train.0_Q6	mc500.train.0_9	the girls
mc500.train.0	mc500.train.0_Q7	mc500.train.0_5	Alyssa
mc500.train.0	mc500.train.0_Q8	mc500.train.0_12	catfish
mc500.train.0	mc500.train.0_Q9	mc500.train.0_15	soup
mc500.train.0	mc500.train.0_Q10	mc500.train.0_11	a restaurant
mc500.train.0	mc500.train.0_Q11	mc500.train.0_8	Ellen's house
mc500.train.0	mc500.train.0_Q12	mc500.train.0_7	some lemonade
mc500.train.0	mc500.train.0_Q13	mc500.train.0_17	went back to Ellen's house | went back to Ellen's house to have fun
mc500.train.0	mc500.train.0_Q14	mc500.train.0_18	yes
mc500.train.0	mc500.train.0_Q15	mc500.train.0_6	yes
mc500.train.0	mc500.train.0_Q16	mc500.train.0_6	swimming and laying out
mc500.train.0	mc500.train.0_Q17	mc500.train.0_0	yes
mc500.train.0	mc500.train.0_Q18	mc500.train.0_3	Miami
mc500.train.0	mc500.train.0_Q19	mc500.train.0_13	catfish
mc500.train.0	mc500.train.0_Q20	mc500.train.0_8	her friends Kristin and Rachel | Kristin and Rachel
mc500.train.0	mc500.train.0_Q21	mc500.train.0_17	to have fun
mc500.train.0	mc500.train.0_Q22	mc500.train.0_5	The beach
mc500.train.0	mc500.train.0_Q23	mc500.train.0_6	her friend Ellen's house | Ellen's house
mc500.train.18	mc500.train.18_Q0	mc500.train.18_0	one morning
mc500.train.18	mc500.train.18_Q1	mc500.train.18_0	went outside to her back yard
mc500.train.18	mc500.train.18_Q2	mc500.train.18_2	bunch of flowers
mc500.train.18	mc500.train.18_Q3	mc500.train.18_4	a lot of different sized flowers
mc500.train.18	mc500.train.18_Q4	mc500.train.18_1	all of the flowers | the flowers | flowers
mc500.train.18	mc500.train.18_Q5	mc500.train.18_3	in her yard
mc500.train.18	mc500.train.18_Q6	mc500.train.18_9	in a new spot that was up higher | in a new spot
mc500.train.18	mc500.train.18_Q7	mc500.train.18_1	because it was Mother's day | because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present
mc500.train.18	mc500.train.18_Q8	mc500.train.18_10	excited
mc500.train.18	mc500.train.18_Q9	mc500.train.18_5	small
mc500.train.18	mc500.train.18_Q10	mc500.train.18_7	the flowers
mc500.train.18	mc500.train.18_Q11	mc500.train.18_12	The red one
mc500.train.18	mc500.train.18_Q12	mc500.train.18_10	8:30 AM
mc500.train.18	mc500.train.18_Q13	mc500.train.18_6	string
mc500.train.18	mc500.train.18_Q14	mc500.train.18_1	flowers
mc500.train.18	mc500.train.18_Q15	mc500.train.18_8	Morgan
mc500.train.18	mc500.train.18_Q16	mc500.train.18_8	So Morgan wouldn't find the flowers and eat them
mc500.train.18	mc500.train.18_Q17	mc500.train.18_6	the flowers
mc500.train.18	mc500.train.18_Q18	mc500.train.18_0	her back yard
mc500.train.18	mc500.train.18_Q19	mc500.train.18_5	The red ones
mc500.train.18	mc500.train.18_Q20	mc500.train.18_0	outside to her back yard | outside | to her back yard
mc500.train.18	mc500.train.18_Q21	mc500.train.18_6	she went inside | she went inside and tied them together with a string
mc500.train.23	mc500.train.23_Q0	mc500.train.23_0	Saturday afternoon
mc500.train.23	mc500.train.23_Q1	mc500.train.23_0	Saturday
mc500.train.23	mc500.train.23_Q2	mc500.train.23_5	outside the window
mc500.train.23	mc500.train.23_Q3	mc500.train.23_5	the newspaper
mc500.train.23	mc500.train.23_Q4	mc500.train.23_6	on the front
mc500.train.23	mc500.train.23_Q5	mc500.train.23_1	all day
mc500.train.23	mc500.train.23_Q6	mc500.train.23_8	the story
mc500.train.23	mc500.train.23_Q7	mc500.train.23_9	in town
mc500.train.23	mc500.train.23_Q8	mc500.train.23_10	no
mc500.train.23	mc500.train.23_Q9	mc500.train.23_13	goldfish food | some goldfish food
mc500.train.23	mc500.train.23_Q10	mc500.train.23_16	The people and animals at the circus | The people and animals
mc500.train.23	mc500.train.23_Q11	mc500.train.23_18	lots of peanuts | peanuts
mc500.train.23	mc500.train.23_Q12	mc500.train.23_20	at the circus | the circus
mc500.train.23	mc500.train.23_Q13	mc500.train.23_15	the circus
mc500.train.23	mc500.train.23_Q14	mc500.train.23_5	by the door
mc500.train.23	mc500.train.23_Q15	mc500.train.23_17	the elephant
mc500.train.23	mc500.train.23_Q16	mc500.train.23_16	tricks | lots of tricks
mc500.train.23	mc500.train.23_Q17	mc500.train.23_7	the newspaper
mc500.train.23	mc500.train.23_Q18	mc500.train.23_12	feed his goldfish
mc500.train.23	mc500.train.23_Q19	mc500.train.23_18	Andrew and his dad
mc500.train.23	mc500.train.23_Q20	mc500.train.23_6	a picture of an elephant
mc500.train.25	mc500.train.25_Q0	mc500.train.25_0	by the river
mc500.train.25	mc500.train.25_Q1	mc500.train.25_0	in a beautiful pond | in a beautiful pond by the river
mc500.train.25	mc500.train.25_Q2	mc500.train.25_7	rocks
mc500.train.25	mc500.train.25_Q3	mc500.train.25_3	a new friend | a new friend named Thomas
mc500.train.25	mc500.train.25_Q4	mc500.train.25_1	every day
mc500.train.25	mc500.train.25_Q5	mc500.train.25_1	play in the water
mc500.train.25	mc500.train.25_Q6	mc500.train.25_11	in the water
mc500.train.25	mc500.train.25_Q7	mc500.train.25_11	since they could play in the water | since they could play in the water as much as they wanted
mc500.train.25	mc500.train.25_Q8	mc500.train.25_7	Cindy
mc500.train.25	mc500.train.25_Q9	mc500.train.25_7	Maxine and Thomas.
mc500.train.25	mc500.train.25_Q10	mc500.train.25_8	what happened
mc500.train.25	mc500.train.25_Q11	mc500.train.25_8	Maxine's dad
mc500.train.25	mc500.train.25_Q12	mc500.train.25_9	Maxine's dad
mc500.train.25	mc500.train.25_Q13	mc500.train.25_6	Cindy
mc500.train.25	mc500.train.25_Q14	mc500.train.25_6	one day
mc500.train.25	mc500.train.25_Q15	mc500.train.25_5	Martin, Edgar, and Cindy
mc500.train.25	mc500.train.25_Q16	mc500.train.25_4	take lots of baths
mc500.train.25	mc500.train.25_Q17	mc500.train.25_9	yelled | yelled at Cindy
mc500.train.25	mc500.train.25_Q18	mc500.train.25_3	Thomas
mc500.train.25	mc500.train.25_Q19	mc500.train.25_3	Thomas
mc500.train.25	mc500.train.25_Q20	mc500.train.25_11	Maxine | Maxine and Thomas
mc500.train.111	mc500.train.111_Q0	mc500.train.111_12	a very silly looking dog
mc500.train.111	mc500.train.111_Q1	mc500.train.111_13	thunder
mc500.train.111	mc500.train.111_Q2	mc500.train.111_11	walked
mc500.train.111	mc500.train.111_Q3	mc500.train.111_11	the store
mc500.train.111	mc500.train.111_Q4	mc500.train.111_7	in the kitchen
mc500.train.111	mc500.train.111_Q5	mc500.train.111_9	a napkin
mc500.train.111	mc500.train.111_Q6	mc500.train.111_9	in the trashcan
mc500.train.111	mc500.train.111_Q7	mc500.train.111_1	a flower
mc500.train.111	mc500.train.111_Q8	mc500.train.111_0	his favorite song
mc500.train.111	mc500.train.111_Q9	mc500.train.111_3	in the night sky | in the sky
mc500.train.111	mc500.train.111_Q10	mc500.train.111_4	Will
mc500.train.111	mc500.train.111_Q11	mc500.train.111_5	jam
mc500.train.111	mc500.train.111_Q12	mc500.train.111_6	chicken, gravy, or butter
mc500.train.111	mc500.train.111_Q13	mc500.train.111_15	he didn't have to get wet
mc500.train.111	mc500.train.111_Q14	mc500.train.111_10	it started to rain
fables-01	fables-01_Q1	fables-01_0	on a branch of a tree
fables-01	fables-01_Q10	fables-01_0	a Fox
fables-01	fables-01_Q11	fables-01_0	a Fox
fables-01	fables-01_Q12	fables-01_2	the beauty of the bird was incomparable
fables-01	fables-01_Q13	fables-01_4	loudly
fables-01	fables-01_Q14	fables-01_0	the crow
fables-01	fables-01_Q15	fables-01_0	a fox
fables-01	fables-01_Q16	fables-01_5	The crow
fables-01	fables-01_Q17	fables-01_0	the crow
fables-01	fables-01_Q18	fables-01_4	The crow
fables-01	fables-01_Q2	fables-01_0	a piece of cheese
fables-01	fables-01_Q3	fables-01_0	A Fox and A Crow
fables-01	fables-01_Q4	fables-01_5	snatched | tried to discover how to get the cheese
fables-01	fables-01_Q5	fables-01_1	under the tree
fables-01	fables-01_Q6	fables-01_4	Flattered | that the fox had flattered her
fables-01	fables-01_Q7	fables-01_4	The fox
fables-01	fables-01_Q8	fables-01_0	sitting on the branch of a tree
fables-01	fables-01_Q9	fables-01_0	in the beak of the crow
fables-02	fables-02_Q1	fables-02_0	a fat bull
fables-02	fables-02_Q10	fables-02_0	because the lion feared sharp horns of the bull
fables-02	fables-02_Q11	fables-02_0	sharp horns of the bull
fables-02	fables-02_Q12	fables-02_5	horns
fables-02	fables-02_Q13	fables-02_0	a lion
fables-02	fables-02_Q14	fables-02_0	because the lion wanted to eat the bull
fables-02	fables-02_Q15	fables-02_7	to remove the horns of the bull
fables-02	fables-02_Q16	fables-02_5	because the horns of the bull was ugly
fables-02	fables-02_Q17	fables-02_1	to attempt to kill the bull
fables-02	fables-02_Q18	fables-02_0	the bull
fables-02	fables-02_Q19	fables-02_0	The bull
fables-02	fables-02_Q2	fables-02_8	the bull
fables-02	fables-02_Q20	fables-02_0	because the lion feared sharp the horns of the bull.
fables-02	fables-02_Q21	fables-02_8	the bull
fables-02	fables-02_Q22	fables-02_8	the bull
fables-02	fables-02_Q23	fables-02_8	the lion
fables-02	fables-02_Q3	fables-02_0	in a meadow
fables-02	fables-02_Q4	fables-02_0	the bull
fables-02	fables-02_Q5	fables-02_0	a lion
fables-02	fables-02_Q6	fables-02_2	that the lion was friendly
fables-02	fables-02_Q7	fables-02_0	a lion and a bull
fables-02	fables-02_Q8	fables-02_8	the bull
fables-02	fables-02_Q9	fables-02_0	to eat the bull
fables-03	fables-03_Q1	fables-03_0	an eagle an a serpent
fables-03	fables-03_Q10	fables-03_4	the ground
fables-03	fables-03_Q11	fables-03_4	his exertions
fables-03	fables-03_Q12	fables-03_3	spat some of his poison into the man's drinking-horn
fables-03	fables-03_Q13	fables-03_0	an Eagle
fables-03	fables-03_Q14	fables-03_1	The serpent
fables-03	fables-03_Q15	fables-03_2	a countryman
fables-03	fables-03_Q16	fables-03_2	a countryman
fables-03	fables-03_Q17	fables-03_3	a drinking vessel
fables-03	fables-03_Q18	fables-03_2	a countryman
fables-03	fables-03_Q19	fables-03_2	the serpent
fables-03	fables-03_Q2	fables-03_0	an eagle
fables-03	fables-03_Q20	fables-03_3	some poison | some of his poison
fables-03	fables-03_Q21	fables-03_4	the eagle
fables-03	fables-03_Q22	fables-03_0	An eagle
fables-03	fables-03_Q23	fables-03_1	an eagle
fables-03	fables-03_Q24	fables-03_0	A serpent
fables-03	fables-03_Q25	fables-03_1	the eagle
fables-03	fables-03_Q26	fables-03_2	The countryman
fables-03	fables-03_Q27	fables-03_3	The drinking vessel
fables-03	fables-03_Q3	fables-03_0	his talons
fables-03	fables-03_Q4	fables-03_2	a countryman
fables-03	fables-03_Q5	fables-03_3	some poison | some of his poison
fables-03	fables-03_Q6	fables-03_3	into the man's drinking-horn | in the drinking vessel of the countryman
fables-03	fables-03_Q7	fables-03_4	to sip from the drinking vessel
fables-03	fables-03_Q8	fables-03_4	the eagle
fables-03	fables-03_Q9	fables-03_4	the drinking vessel
fables-04	fables-04_Q1	fables-04_0	a stork
fables-04	fables-04_Q10	fables-04_1	the stork
fables-04	fables-04_Q11	fables-04_3	long and narrow
fables-04	fables-04_Q12	fables-04_2	the fox
fables-04	fables-04_Q13	fables-04_0	a flat and large dish
fables-04	fables-04_Q14	fables-04_1	the stork
fables-04	fables-04_Q15	fables-04_1	The stork
fables-04	fables-04_Q16	fables-04_0	some soup in a flat and large dish
fables-04	fables-04_Q17	fables-04_1	The stork
fables-04	fables-04_Q2	fables-04_0	a large flat dish of soup
fables-04	fables-04_Q3	fables-04_0	in a flat and large dish
fables-04	fables-04_Q4	fables-04_0	a fox and a stork
fables-04	fables-04_Q5	fables-04_1	lapped the soup with relish | served some
fables-04	fables-04_Q6	fables-04_4	because he wasn't able to reach some food that was in the pitcher
fables-04	fables-04_Q7	fables-04_3	the long and narrow neck of the pitcher
fables-04	fables-04_Q8	fables-04_4	for it was impossible for him to reach the tempting contents of the vessel
fables-04	fables-04_Q9	fables-04_1	broth
fables-05	fables-05_Q1	fables-05_0	a Fox
fables-05	fables-05_Q10	fables-05_1	the agriculturist
fables-05	fables-05_Q11	fables-05_1	the agriculturist
fables-05	fables-05_Q12	fables-05_2	because the fox ran into a field
fables-05	fables-05_Q13	fables-05_3	the corn
fables-05	fables-05_Q14	fables-05_0	The fox
fables-05	fables-05_Q15	fables-05_1	the fiber
fables-05	fables-05_Q16	fables-05_1	the fox
fables-05	fables-05_Q2	fables-05_2	the fields where the corn was standing ripe and ready for cutting | the fields
fables-05	fables-05_Q3	fables-05_3	the Farmer
fables-05	fables-05_Q4	fables-05_1	an agriculturist
fables-05	fables-05_Q5	fables-05_1	the tail of the fox
fables-05	fables-05_Q6	fables-05_1	the agriculturist
fables-05	fables-05_Q7	fables-05_3	the corn
fables-05	fables-05_Q8	fables-05_3	the agriculturist
fables-05	fables-05_Q9	fables-05_3	all his harvest
fables-06	fables-06_Q1	fables-06_0	in a lair | in his lair
fables-06	fables-06_Q10	fables-06_0	a mouse
fables-06	fables-06_Q11	fables-06_6	in order to catch a big game
fables-06	fables-06_Q12	fables-06_2	the mouse
fables-06	fables-06_Q13	fables-06_6	To the lion
fables-06	fables-06_Q14	fables-06_6	his roars of anger |the voice of the lion
fables-06	fables-06_Q15	fables-06_7	its teeth
fables-06	fables-06_Q16	fables-06_4	the lion
fables-06	fables-06_Q17	fables-06_7	the mouse
fables-06	fables-06_Q18	fables-06_2	It didn't want to die
fables-06	fables-06_Q19	fables-06_6	the lion
fables-06	fables-06_Q2	fables-06_2	the Mouse
fables-06	fables-06_Q20	fables-06_6	some net
fables-06	fables-06_Q21	fables-06_1	the lion
fables-06	fables-06_Q22	fables-06_1	its paw
fables-06	fables-06_Q23	fables-06_7	the ropes
fables-06	fables-06_Q24	fables-06_7	its teeth
fables-06	fables-06_Q25	fables-06_3	the mouse
fables-06	fables-06_Q26	fables-06_6	the voice of the lion
fables-06	fables-06_Q27	fables-06_1	the mouse
fables-06	fables-06_Q28	fables-06_0	because a mouse ran into the face of the lion.
fables-06	fables-06_Q3	fables-06_4	The idea of so insignificant a creature ever being able to do anything for him
fables-06	fables-06_Q4	fables-06_6	a net which had been spread for game by some hunters
fables-06	fables-06_Q5	fables-06_6	the Mouse
fables-06	fables-06_Q6	fables-06_0	because a mouse ran into the face of the lion
fables-06	fables-06_Q7	fables-06_6	a trapper
fables-06	fables-06_Q8	fables-06_6	the lion
fables-06	fables-06_Q9	fables-06_7	the rope of the net