storyid	storytitle	sentenceid	sentence
88fba119-ccac-4b82-881f-e609e188bebc	Chris the Lawyer	88fba119-ccac-4b82-881f-e609e188bebc_4	Chris wins the case and the client goes free.
1cc75245-93bd-44cc-b076-8d1b249e1ee5	Julie's Bad pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_0	Julie was feeling hungry.
1cc75245-93bd-44cc-b076-8d1b249e1ee5	Julie's Bad pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_1	She thought she would order some Pizza.
1cc75245-93bd-44cc-b076-8d1b249e1ee5	Julie's Bad pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_2	Julie order the food through an online website.
1cc75245-93bd-44cc-b076-8d1b249e1ee5	Julie's Bad pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_3	The pizza arrived and Julie tipped the driver.
1cc75245-93bd-44cc-b076-8d1b249e1ee5	Julie's Bad pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_4	Julie went to take a bite of the pizza and it was burnt!
bfa4ef8c-715d-4287-88a5-035611e34e40	Fear of Dogs	bfa4ef8c-715d-4287-88a5-035611e34e40_0	Justin was terrified of dogs.
bfa4ef8c-715d-4287-88a5-035611e34e40	Fear of Dogs	bfa4ef8c-715d-4287-88a5-035611e34e40_1	His girlfriend had a dog and he wanted to feel comfortable with it.
bfa4ef8c-715d-4287-88a5-035611e34e40	Fear of Dogs	bfa4ef8c-715d-4287-88a5-035611e34e40_2	Justin went to therapy to help him get over his fear.
bfa4ef8c-715d-4287-88a5-035611e34e40	Fear of Dogs	bfa4ef8c-715d-4287-88a5-035611e34e40_3	After a few months of therapy Justin felt better around dogs.
bfa4ef8c-715d-4287-88a5-035611e34e40	Fear of Dogs	bfa4ef8c-715d-4287-88a5-035611e34e40_4	Justin then moved in with his girlfriend and her dog.
210d56ce-a940-4766-9b7b-d086b2c5682d	Falling down	210d56ce-a940-4766-9b7b-d086b2c5682d_0	David was walking down the street when he fell down.
210d56ce-a940-4766-9b7b-d086b2c5682d	Falling down	210d56ce-a940-4766-9b7b-d086b2c5682d_1	He stood up and saw that his knee was bleeding.
210d56ce-a940-4766-9b7b-d086b2c5682d	Falling down	210d56ce-a940-4766-9b7b-d086b2c5682d_2	He found a handkerchief in his pants and applied it to the wound.
210d56ce-a940-4766-9b7b-d086b2c5682d	Falling down	210d56ce-a940-4766-9b7b-d086b2c5682d_3	He hopped to the nearest pharmacy stifling his pain.
210d56ce-a940-4766-9b7b-d086b2c5682d	Falling down	210d56ce-a940-4766-9b7b-d086b2c5682d_4	He then bought some peroxide and bandages to treat his knee.
50357157-3765-40b5-8e32-f86961c98be0	Concert	50357157-3765-40b5-8e32-f86961c98be0_0	Nicole wanted to go to a concert in another city.
50357157-3765-40b5-8e32-f86961c98be0	Concert	50357157-3765-40b5-8e32-f86961c98be0_1	Unfortunately, Nicole could not drive.
50357157-3765-40b5-8e32-f86961c98be0	Concert	50357157-3765-40b5-8e32-f86961c98be0_2	She asked her cousin to take her to the concert.
50357157-3765-40b5-8e32-f86961c98be0	Concert	50357157-3765-40b5-8e32-f86961c98be0_3	Her cousin agreed to drive if Nicole bought the tickets.
50357157-3765-40b5-8e32-f86961c98be0	Concert	50357157-3765-40b5-8e32-f86961c98be0_4	They went to the concert and had a great time.
006536d7-2be3-49a4-a750-769684e952ed	Scare	006536d7-2be3-49a4-a750-769684e952ed_0	I woke from my sleep at around three in the morning.
006536d7-2be3-49a4-a750-769684e952ed	Scare	006536d7-2be3-49a4-a750-769684e952ed_1	I heard a scratching sound coming from inside my closet.
006536d7-2be3-49a4-a750-769684e952ed	Scare	006536d7-2be3-49a4-a750-769684e952ed_2	I turned the light on beside my bed to investigate.
006536d7-2be3-49a4-a750-769684e952ed	Scare	006536d7-2be3-49a4-a750-769684e952ed_3	I crept slowly toward the closet.
006536d7-2be3-49a4-a750-769684e952ed	Scare	006536d7-2be3-49a4-a750-769684e952ed_4	My little brother jumped out of the closet, scaring me to death.
a111d580-1fb2-4ab1-848a-0856982dfcd5	Warm Beer	a111d580-1fb2-4ab1-848a-0856982dfcd5_0	Ken put a bottle of beer in the freezer.
a111d580-1fb2-4ab1-848a-0856982dfcd5	Warm Beer	a111d580-1fb2-4ab1-848a-0856982dfcd5_1	He heard a popping noise.
a111d580-1fb2-4ab1-848a-0856982dfcd5	Warm Beer	a111d580-1fb2-4ab1-848a-0856982dfcd5_2	He looked in the freezer and saw the bottle had burst.
a111d580-1fb2-4ab1-848a-0856982dfcd5	Warm Beer	a111d580-1fb2-4ab1-848a-0856982dfcd5_3	He didn't want to wait for another beer to get cold.
a111d580-1fb2-4ab1-848a-0856982dfcd5	Warm Beer	a111d580-1fb2-4ab1-848a-0856982dfcd5_4	He drank a warm beer instead.
790d9cb4-4832-49e8-8137-331e79a4b9e6	Christmas Day	790d9cb4-4832-49e8-8137-331e79a4b9e6_0	Christmas was Tyler's favorite holiday.
790d9cb4-4832-49e8-8137-331e79a4b9e6	Christmas Day	790d9cb4-4832-49e8-8137-331e79a4b9e6_1	On Christmas morning he ran downstairs to the tree.
790d9cb4-4832-49e8-8137-331e79a4b9e6	Christmas Day	790d9cb4-4832-49e8-8137-331e79a4b9e6_2	Tyler saw so many presents and could not wait to open them.
790d9cb4-4832-49e8-8137-331e79a4b9e6	Christmas Day	790d9cb4-4832-49e8-8137-331e79a4b9e6_3	By the time his parents woke up, Tyler had opened all his presents!
790d9cb4-4832-49e8-8137-331e79a4b9e6	Christmas Day	790d9cb4-4832-49e8-8137-331e79a4b9e6_4	Tyler showed his parents everything Santa Claus gave him.
e663b977-2af7-4b1d-bd33-352d932f851b	Wendy loses her cool	e663b977-2af7-4b1d-bd33-352d932f851b_0	Wendy was working at her local fast food establishment.
e663b977-2af7-4b1d-bd33-352d932f851b	Wendy loses her cool	e663b977-2af7-4b1d-bd33-352d932f851b_1	She pretty much hated her Job.
e663b977-2af7-4b1d-bd33-352d932f851b	Wendy loses her cool	e663b977-2af7-4b1d-bd33-352d932f851b_2	Wendy was having a rough day and her employees were annoying her.
e663b977-2af7-4b1d-bd33-352d932f851b	Wendy loses her cool	e663b977-2af7-4b1d-bd33-352d932f851b_3	The cook decided to defy her orders when she said go clean the trash.
e663b977-2af7-4b1d-bd33-352d932f851b	Wendy loses her cool	e663b977-2af7-4b1d-bd33-352d932f851b_4	Wendy flew off the handle and fired him on the spot.
375c34c9-3d98-4b2f-9076-404f34ad4e66	Dog's Bite	375c34c9-3d98-4b2f-9076-404f34ad4e66_0	Walter was worried because his dog was showing a lot of aggression.
375c34c9-3d98-4b2f-9076-404f34ad4e66	Dog's Bite	375c34c9-3d98-4b2f-9076-404f34ad4e66_1	The dog recently began snapping at other dogs and even people.
375c34c9-3d98-4b2f-9076-404f34ad4e66	Dog's Bite	375c34c9-3d98-4b2f-9076-404f34ad4e66_2	Walter consulted with his veterinarian.
375c34c9-3d98-4b2f-9076-404f34ad4e66	Dog's Bite	375c34c9-3d98-4b2f-9076-404f34ad4e66_3	The vet discovered that the dog was suffering a flea infestation.
375c34c9-3d98-4b2f-9076-404f34ad4e66	Dog's Bite	375c34c9-3d98-4b2f-9076-404f34ad4e66_4	Some medication got rid of the fleas and the dog's bad mood, too.
6ebc8d48-029b-4f00-89b3-773ce802825e	The Lake	6ebc8d48-029b-4f00-89b3-773ce802825e_0	The couple took a romantic trip to the lake.
6ebc8d48-029b-4f00-89b3-773ce802825e	The Lake	6ebc8d48-029b-4f00-89b3-773ce802825e_1	They stayed in a nice cabin by the water.
6ebc8d48-029b-4f00-89b3-773ce802825e	The Lake	6ebc8d48-029b-4f00-89b3-773ce802825e_2	They went boating and relaxed in the hammock.
6ebc8d48-029b-4f00-89b3-773ce802825e	The Lake	6ebc8d48-029b-4f00-89b3-773ce802825e_3	They were happy to reconnect with each other.
6ebc8d48-029b-4f00-89b3-773ce802825e	The Lake	6ebc8d48-029b-4f00-89b3-773ce802825e_4	When they returned home, they decided to buy a lake house.
5e76713f-92b2-4a5d-8f8d-510fde45705c	Universal Studios	5e76713f-92b2-4a5d-8f8d-510fde45705c_0	The family planned their first trip to Universal Studios.
5e76713f-92b2-4a5d-8f8d-510fde45705c	Universal Studios	5e76713f-92b2-4a5d-8f8d-510fde45705c_1	They were excited to go on all the rides.
5e76713f-92b2-4a5d-8f8d-510fde45705c	Universal Studios	5e76713f-92b2-4a5d-8f8d-510fde45705c_2	They saw a lot of the characters.
5e76713f-92b2-4a5d-8f8d-510fde45705c	Universal Studios	5e76713f-92b2-4a5d-8f8d-510fde45705c_3	They spent three days in the park.
5e76713f-92b2-4a5d-8f8d-510fde45705c	Universal Studios	5e76713f-92b2-4a5d-8f8d-510fde45705c_4	They were sad to come home.
712702cc-f042-4ca5-84dc-ada756cc8959	Ketchup on fries	712702cc-f042-4ca5-84dc-ada756cc8959_0	I went to a restaurant.
712702cc-f042-4ca5-84dc-ada756cc8959	Ketchup on fries	712702cc-f042-4ca5-84dc-ada756cc8959_1	I ordered fries.
712702cc-f042-4ca5-84dc-ada756cc8959	Ketchup on fries	712702cc-f042-4ca5-84dc-ada756cc8959_2	They put ketchup on the fries.
712702cc-f042-4ca5-84dc-ada756cc8959	Ketchup on fries	712702cc-f042-4ca5-84dc-ada756cc8959_3	I was furious at the awful site.
712702cc-f042-4ca5-84dc-ada756cc8959	Ketchup on fries	712702cc-f042-4ca5-84dc-ada756cc8959_4	After complaining, I was given delicious, ketchup free fries.
61550fe1-c17d-4b94-b225-941026bdb68e	The Craft	61550fe1-c17d-4b94-b225-941026bdb68e_0	The woman decided to start a new hobby.
61550fe1-c17d-4b94-b225-941026bdb68e	The Craft	61550fe1-c17d-4b94-b225-941026bdb68e_1	She went to the craft store and picked out some supplies.
61550fe1-c17d-4b94-b225-941026bdb68e	The Craft	61550fe1-c17d-4b94-b225-941026bdb68e_2	She went home and created an amazing masterpiece.
61550fe1-c17d-4b94-b225-941026bdb68e	The Craft	61550fe1-c17d-4b94-b225-941026bdb68e_3	She was very proud of her work.
61550fe1-c17d-4b94-b225-941026bdb68e	The Craft	61550fe1-c17d-4b94-b225-941026bdb68e_4	She displayed it in her kitchen.
mc500.train.0		mc500.train.0_0	Alyssa got to the beach after a long trip.
mc500.train.0		mc500.train.0_1	She's from Charlotte.
mc500.train.0		mc500.train.0_2	She traveled from Atlanta.
mc500.train.0		mc500.train.0_3	She's now in Miami.
mc500.train.0		mc500.train.0_4	She went to Miami to visit some friends.
mc500.train.0		mc500.train.0_5	But she wanted some time to herself at the beach, so she went there first.
mc500.train.0		mc500.train.0_6	After going swimming and laying out, she went to her friend Ellen's house.
mc500.train.0		mc500.train.0_7	Ellen greeted Alyssa and they both had some lemonade to drink.
mc500.train.0		mc500.train.0_8	Alyssa called her friends Kristin and Rachel to meet at Ellen's house.
mc500.train.0		mc500.train.0_9	The girls traded stories and caught up on their lives.
mc500.train.0		mc500.train.0_10	It was a happy time for everyone.
mc500.train.0		mc500.train.0_11	The girls went to a restaurant for dinner.
mc500.train.0		mc500.train.0_12	The restaurant had a special on catfish.
mc500.train.0		mc500.train.0_13	Alyssa enjoyed the restaurant's special.
mc500.train.0		mc500.train.0_14	Ellen ordered a salad.
mc500.train.0		mc500.train.0_15	Kristin had soup.
mc500.train.0		mc500.train.0_16	Rachel had a steak.
mc500.train.0		mc500.train.0_17	After eating, the ladies went back to Ellen's house to have fun.
mc500.train.0		mc500.train.0_18	They had lots of fun.
mc500.train.0		mc500.train.0_19	They stayed the night because they were tired.
mc500.train.0		mc500.train.0_20	Alyssa was happy to spend time with her friends again.
mc500.train.18		mc500.train.18_0	Kelly woke up one morning and went outside to her back yard.
mc500.train.18		mc500.train.18_1	She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.
mc500.train.18		mc500.train.18_2	She was going to give her mom the biggest, most beautiful bunch of flowers her mother had ever seen.
mc500.train.18		mc500.train.18_3	She knew where the best flowers were in her yard.
mc500.train.18		mc500.train.18_4	She got a lot of different sized flowers.
mc500.train.18		mc500.train.18_5	The red ones were big, the orange ones were small, and the green ones were in the middle.
mc500.train.18		mc500.train.18_6	After Kelly collected all of the flowers, she went inside and tied them together with string.
mc500.train.18		mc500.train.18_7	After that, she had to hide the flowers in a secret spot.
mc500.train.18		mc500.train.18_8	She hoped her baby sister Morgan, who was still in diapers, wouldn't find the flowers and eat them.
mc500.train.18		mc500.train.18_9	Kelly was worried, so she hid them in a new spot that was up higher.
mc500.train.18		mc500.train.18_10	Finally, her mother woke up at 8:30 AM, and Kelly was excited!
mc500.train.18		mc500.train.18_11	Kelly gave her mother the flowers.
mc500.train.18		mc500.train.18_12	Her mother's favorite was the red one.
mc500.train.23		mc500.train.23_0	It was Saturday afternoon and Andrew was bored.
mc500.train.23		mc500.train.23_1	He had been watching TV all day.
mc500.train.23		mc500.train.23_2	He told his dad, "There's nothing to do!"
mc500.train.23		mc500.train.23_3	Andrew's dad said, "I think the newspaper is here.
mc500.train.23		mc500.train.23_4	Maybe we can find an idea in the newspaper."
mc500.train.23		mc500.train.23_5	Andrew looked outside the window and saw the newspaper by the door.
mc500.train.23		mc500.train.23_6	On the front was a picture of an elephant.
mc500.train.23		mc500.train.23_7	He picked up the newspaper and brought it to his dad.
mc500.train.23		mc500.train.23_8	Andrew and his dad read the story.
mc500.train.23		mc500.train.23_9	The circus was in town!
mc500.train.23		mc500.train.23_10	Andrew had never been to the circus.
mc500.train.23		mc500.train.23_11	He asked his dad, "Can we go?"
mc500.train.23		mc500.train.23_12	"Yes, we can," Andrew's dad said, "but first you need to feed your goldfish."
mc500.train.23		mc500.train.23_13	Andrew fed his goldfish some goldfish food.
mc500.train.23		mc500.train.23_14	He promised to bring it some peanuts from the circus for later.
mc500.train.23		mc500.train.23_15	Andrew and his dad went to the circus.
mc500.train.23		mc500.train.23_16	The people and animals at the circus did lots of tricks.
mc500.train.23		mc500.train.23_17	The elephant even went down a slide!
mc500.train.23		mc500.train.23_18	Andrew and his dad ate lots of peanuts.
mc500.train.23		mc500.train.23_19	There weren't any peanuts left to bring home to the goldfish.
mc500.train.23		mc500.train.23_20	Andrew and his dad had a lot of fun at the circus.
mc500.train.25		mc500.train.25_0	Maxine was a happy frog that lived in a beautiful pond by the river.
mc500.train.25		mc500.train.25_1	She loved to play in the water and take a bath every day.
mc500.train.25		mc500.train.25_2	But her friends, Martin, Edgar, and Cindy didn't like to take baths.
mc500.train.25		mc500.train.25_3	So one day when she was swimming alone, she met a new friend named Thomas.
mc500.train.25		mc500.train.25_4	Thomas loved to take lots of baths, so he became friends with Maxine.
mc500.train.25		mc500.train.25_5	But Martin, Edgar, and Cindy didn't like Thomas.
mc500.train.25		mc500.train.25_6	So one day when Maxine and Thomas were swimming, Cindy did something mean.
mc500.train.25		mc500.train.25_7	She threw rocks at Maxine and Thomas.
mc500.train.25		mc500.train.25_8	Maxine's dad saw what happened and he was very mad.
mc500.train.25		mc500.train.25_9	He went over and yelled at Cindy for what she did.
mc500.train.25		mc500.train.25_10	After that Cindy didn't throw any rocks, and Maxine and Thomas could swim together and take lots of baths.
mc500.train.25		mc500.train.25_11	They were very happy since they could play in the water as much as they wanted without other frogs being mean to them.
mc500.train.111		mc500.train.111_0	Will was playing his favorite song.
mc500.train.111		mc500.train.111_1	The song was about a flower.
mc500.train.111		mc500.train.111_2	Will stopped singing and went outside.
mc500.train.111		mc500.train.111_3	A single star was out in the night sky.
mc500.train.111		mc500.train.111_4	Will got hungry and went inside to get a biscuit.
mc500.train.111		mc500.train.111_5	He also had jam with it.
mc500.train.111		mc500.train.111_6	He didn't want chicken, gravy, or butter on his biscuit.
mc500.train.111		mc500.train.111_7	Will sat and finished his dinner in the kitchen.
mc500.train.111		mc500.train.111_8	Will walked over to the living room.
mc500.train.111		mc500.train.111_9	On his way there, he put a napkin in the trashcan.
mc500.train.111		mc500.train.111_10	When he was in the living room, it started to rain.
mc500.train.111		mc500.train.111_11	It stopped raining and Will walked all the way to the store.
mc500.train.111		mc500.train.111_12	When at the store, Will had a good laugh at a very silly looking dog.
mc500.train.111		mc500.train.111_13	Will heard it start to thunder.
mc500.train.111		mc500.train.111_14	Will looked outside to see if it was raining again, and it was not.
mc500.train.111		mc500.train.111_15	Will was happy he didn't have to get wet walking home.
mc500.train.111		mc500.train.111_16	He went outside smiling.
fables-06	The Mouse and the Lion	fables-06_0	A Lion asleep in his lair was waked up by a Mouse running over his face.
fables-06	The Mouse and the Lion	fables-06_1	Losing his temper he seized it with his paw and was about to kill it.
fables-06	The Mouse and the Lion	fables-06_2	The Mouse, terrified, piteously entreated him to spare its life.
fables-06	The Mouse and the Lion	fables-06_3	Please let me go, it cried, "and one day I will repay you for your kindness."
fables-06	The Mouse and the Lion	fables-06_4	The idea of so insignificant a creature ever being able to do anything for him amused the Lion so much that he laughed aloud, and good-humouredly let it go.
fables-06	The Mouse and the Lion	fables-06_5	But the Mouse's chance came, after all.
fables-06	The Mouse and the Lion	fables-06_6	One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot.
fables-06	The Mouse and the Lion	fables-06_7	Without more ado it set to work to gnaw the ropes with its teeth, and succeeded before long in setting the Lion free.
fables-06	The Mouse and the Lion	fables-06_8	"There!"
fables-06	The Mouse and the Lion	fables-06_9	said the Mouse, "you laughed at me when I promised I would repay you: but now you see, even a Mouse can help a Lion."
fables-01	The Fox and the Crow	fables-01_0	A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.
fables-01	The Fox and the Crow	fables-01_1	Coming and standing under the tree he looked up and said, "What a noble bird I see above me!
fables-01	The Fox and the Crow	fables-01_2	Her beauty is without equal, the hue of her plumage exquisite.
fables-01	The Fox and the Crow	fables-01_3	If only her voice is as sweet as her looks are fair, she ought without doubt to be Queen of the Birds."
fables-01	The Fox and the Crow	fables-01_4	The Crow was hugely flattered by this, and just to show the Fox that she could sing she gave a loud caw.
fables-01	The Fox and the Crow	fables-01_5	Down came the cheese, of course, and the Fox, snatching it up, said, "You have a voice, madam, I see: what you want is wits."
fables-02	The Lion and the Bull	fables-02_0	A Lion watched a fat Bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns.
fables-02	The Lion and the Bull	fables-02_1	Hunger, however, presently compelled him to do something: and as the use of force did not promise success, he determined to resort to artifice.
fables-02	The Lion and the Bull	fables-02_2	Going up to the Bull in friendly fashion, he said to him, "I cannot help saying how much I admire your magnificent figure.
fables-02	The Lion and the Bull	fables-02_3	What a fine head!
fables-02	The Lion and the Bull	fables-02_4	What powerful shoulders and thighs!
fables-02	The Lion and the Bull	fables-02_5	But, my dear friend, what in the world makes you wear those ugly horns?
fables-02	The Lion and the Bull	fables-02_6	You must find them as awkward as they are unsightly.
fables-02	The Lion and the Bull	fables-02_7	Believe me, you would do much better without them."
fables-02	The Lion and the Bull	fables-02_8	The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion.
fables-04	The Fox and the Stork	fables-04_0	A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup.
fables-04	The Fox and the Stork	fables-04_1	The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth.
fables-04	The Fox and the Stork	fables-04_2	Her evident distress caused the sly Fox much amusement.
fables-04	The Fox and the Stork	fables-04_3	But not long after the Stork invited him in turn, and set before him a pitcher with a long and narrow neck, into which she could get her bill with ease.
fables-04	The Fox and the Stork	fables-04_4	Thus, while she enjoyed her dinner, the Fox sat by hungry and helpless, for it was impossible for him to reach the tempting contents of the vessel.
fables-05	The Farmer and the Fox	fables-05_0	A Farmer was greatly annoyed by a Fox, which came prowling about his yard at night and carried off his fowls.
fables-05	The Farmer and the Fox	fables-05_1	So he set a trap for him and caught him; and in order to be revenged upon him, he tied a bunch of tow to his tail and set fire to it and let him go.
fables-05	The Farmer and the Fox	fables-05_2	As ill-luck would have it, however, the Fox made straight for the fields where the corn was standing ripe and ready for cutting.
fables-05	The Farmer and the Fox	fables-05_3	It quickly caught fire and was all burnt up, and the Farmer lost all his harvest.
fables-03	The Eagle and the Serpent	fables-03_0	An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.
fables-03	The Eagle and the Serpent	fables-03_1	But the Serpent was too quick for him and had its coils round him in a moment; and then there ensued a life-and-death struggle between the two.
fables-03	The Eagle and the Serpent	fables-03_2	A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape.
fables-03	The Eagle and the Serpent	fables-03_3	In revenge the Serpent spat some of his poison into the man's drinking-horn.
fables-03	The Eagle and the Serpent	fables-03_4	Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.