answer	answer_sentenceid	questionid	storyid
39	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_0	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_Q0	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
11	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_3	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_Q1	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
12	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_4	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_Q2	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
0	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_0	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_Q3	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
4	0beabab2-fb49-460e-a6e6-f35a202e3348_0	0beabab2-fb49-460e-a6e6-f35a202e3348_Q0	0beabab2-fb49-460e-a6e6-f35a202e3348
3	0beabab2-fb49-460e-a6e6-f35a202e3348_1	0beabab2-fb49-460e-a6e6-f35a202e3348_Q1	0beabab2-fb49-460e-a6e6-f35a202e3348
1	0beabab2-fb49-460e-a6e6-f35a202e3348_1	0beabab2-fb49-460e-a6e6-f35a202e3348_Q2	0beabab2-fb49-460e-a6e6-f35a202e3348
2	0beabab2-fb49-460e-a6e6-f35a202e3348_1	0beabab2-fb49-460e-a6e6-f35a202e3348_Q3	0beabab2-fb49-460e-a6e6-f35a202e3348
24	87da1a22-df0b-410c-b186-439700b70ba6_0	87da1a22-df0b-410c-b186-439700b70ba6_Q0	87da1a22-df0b-410c-b186-439700b70ba6
1	87da1a22-df0b-410c-b186-439700b70ba6_2	87da1a22-df0b-410c-b186-439700b70ba6_Q1	87da1a22-df0b-410c-b186-439700b70ba6
5	87da1a22-df0b-410c-b186-439700b70ba6_2	87da1a22-df0b-410c-b186-439700b70ba6_Q2	87da1a22-df0b-410c-b186-439700b70ba6
7	87da1a22-df0b-410c-b186-439700b70ba6_3	87da1a22-df0b-410c-b186-439700b70ba6_Q3	87da1a22-df0b-410c-b186-439700b70ba6
8	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_1	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q0	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
3	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_4	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q1	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
8	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_0	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q2	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
2	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_1	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q3	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
0	c71bb23b-7731-4233-8298-76ba6886cee1_0	c71bb23b-7731-4233-8298-76ba6886cee1_Q0	c71bb23b-7731-4233-8298-76ba6886cee1
4	c71bb23b-7731-4233-8298-76ba6886cee1_3	c71bb23b-7731-4233-8298-76ba6886cee1_Q1	c71bb23b-7731-4233-8298-76ba6886cee1
3	c71bb23b-7731-4233-8298-76ba6886cee1_1	c71bb23b-7731-4233-8298-76ba6886cee1_Q2	c71bb23b-7731-4233-8298-76ba6886cee1
3	c71bb23b-7731-4233-8298-76ba6886cee1_4	c71bb23b-7731-4233-8298-76ba6886cee1_Q3	c71bb23b-7731-4233-8298-76ba6886cee1
2	4d7b022e-25d2-4300-a9b0-24ab35f4045b_0	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q0	4d7b022e-25d2-4300-a9b0-24ab35f4045b
10	4d7b022e-25d2-4300-a9b0-24ab35f4045b_1	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q1	4d7b022e-25d2-4300-a9b0-24ab35f4045b
4	4d7b022e-25d2-4300-a9b0-24ab35f4045b_3	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q2	4d7b022e-25d2-4300-a9b0-24ab35f4045b
3	4d7b022e-25d2-4300-a9b0-24ab35f4045b_0	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q3	4d7b022e-25d2-4300-a9b0-24ab35f4045b
10	8036c905-f23e-4976-83a1-85d679b5e0c2_0	8036c905-f23e-4976-83a1-85d679b5e0c2_Q0	8036c905-f23e-4976-83a1-85d679b5e0c2
2	8036c905-f23e-4976-83a1-85d679b5e0c2_3	8036c905-f23e-4976-83a1-85d679b5e0c2_Q1	8036c905-f23e-4976-83a1-85d679b5e0c2
8	8036c905-f23e-4976-83a1-85d679b5e0c2_0	8036c905-f23e-4976-83a1-85d679b5e0c2_Q2	8036c905-f23e-4976-83a1-85d679b5e0c2
2	8036c905-f23e-4976-83a1-85d679b5e0c2_4	8036c905-f23e-4976-83a1-85d679b5e0c2_Q3	8036c905-f23e-4976-83a1-85d679b5e0c2
2	77338898-07d4-4143-8451-284540c8b082_0	77338898-07d4-4143-8451-284540c8b082_Q0	77338898-07d4-4143-8451-284540c8b082
8	77338898-07d4-4143-8451-284540c8b082_0	77338898-07d4-4143-8451-284540c8b082_Q1	77338898-07d4-4143-8451-284540c8b082
3	77338898-07d4-4143-8451-284540c8b082_3	77338898-07d4-4143-8451-284540c8b082_Q2	77338898-07d4-4143-8451-284540c8b082
4	77338898-07d4-4143-8451-284540c8b082_4	77338898-07d4-4143-8451-284540c8b082_Q3	77338898-07d4-4143-8451-284540c8b082
2	110fafd1-2bb7-4ffe-aac7-475706165d41_1	110fafd1-2bb7-4ffe-aac7-475706165d41_Q0	110fafd1-2bb7-4ffe-aac7-475706165d41
1	110fafd1-2bb7-4ffe-aac7-475706165d41_0	110fafd1-2bb7-4ffe-aac7-475706165d41_Q1	110fafd1-2bb7-4ffe-aac7-475706165d41
2	110fafd1-2bb7-4ffe-aac7-475706165d41_1	110fafd1-2bb7-4ffe-aac7-475706165d41_Q2	110fafd1-2bb7-4ffe-aac7-475706165d41
11	110fafd1-2bb7-4ffe-aac7-475706165d41_4	110fafd1-2bb7-4ffe-aac7-475706165d41_Q3	110fafd1-2bb7-4ffe-aac7-475706165d41
5	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_1	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q0	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
5	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_1	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q1	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
6	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_3	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q2	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
3	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_1	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q3	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
6	c400d38a-54fc-45da-99ed-558fcfc81016_2	c400d38a-54fc-45da-99ed-558fcfc81016_Q0	c400d38a-54fc-45da-99ed-558fcfc81016
5	c400d38a-54fc-45da-99ed-558fcfc81016_4	c400d38a-54fc-45da-99ed-558fcfc81016_Q1	c400d38a-54fc-45da-99ed-558fcfc81016
9	c400d38a-54fc-45da-99ed-558fcfc81016_1	c400d38a-54fc-45da-99ed-558fcfc81016_Q2	c400d38a-54fc-45da-99ed-558fcfc81016
6	c400d38a-54fc-45da-99ed-558fcfc81016_4	c400d38a-54fc-45da-99ed-558fcfc81016_Q3	c400d38a-54fc-45da-99ed-558fcfc81016
2	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_0	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q0	8fbef343-8806-4bcf-9326-08ca6ebf6cb9
4	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_2	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q1	8fbef343-8806-4bcf-9326-08ca6ebf6cb9
4	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_3	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q2	8fbef343-8806-4bcf-9326-08ca6ebf6cb9
3	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_2	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q3	8fbef343-8806-4bcf-9326-08ca6ebf6cb9
2	3be3719a-ae77-4106-88ea-988afb19db99_1	3be3719a-ae77-4106-88ea-988afb19db99_Q0	3be3719a-ae77-4106-88ea-988afb19db99
2	3be3719a-ae77-4106-88ea-988afb19db99_3	3be3719a-ae77-4106-88ea-988afb19db99_Q1	3be3719a-ae77-4106-88ea-988afb19db99
3	3be3719a-ae77-4106-88ea-988afb19db99_4	3be3719a-ae77-4106-88ea-988afb19db99_Q2	3be3719a-ae77-4106-88ea-988afb19db99
1	3be3719a-ae77-4106-88ea-988afb19db99_4	3be3719a-ae77-4106-88ea-988afb19db99_Q3	3be3719a-ae77-4106-88ea-988afb19db99
1	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_0	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q0	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6
5	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_0	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q1	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6
7	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_4	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q2	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6
0	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_0	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q3	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6
4	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_0	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q0	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba
3	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_1	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q1	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba
10	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_2	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q2	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba
2	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_3	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q3	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba
2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_0	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q0	b94e1810-9869-4af6-bb74-b4a51c46f3d2
1	b94e1810-9869-4af6-bb74-b4a51c46f3d2_1	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q1	b94e1810-9869-4af6-bb74-b4a51c46f3d2
10	b94e1810-9869-4af6-bb74-b4a51c46f3d2_2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q2	b94e1810-9869-4af6-bb74-b4a51c46f3d2
11	b94e1810-9869-4af6-bb74-b4a51c46f3d2_0	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q3	b94e1810-9869-4af6-bb74-b4a51c46f3d2
6	ae7e744e-fd27-46c2-befb-7e8427cb679c_0	ae7e744e-fd27-46c2-befb-7e8427cb679c_Q0	ae7e744e-fd27-46c2-befb-7e8427cb679c
3	ae7e744e-fd27-46c2-befb-7e8427cb679c_0	ae7e744e-fd27-46c2-befb-7e8427cb679c_Q1	ae7e744e-fd27-46c2-befb-7e8427cb679c
2	f3643541-c339-4377-851d-144ea400d551_1	f3643541-c339-4377-851d-144ea400d551_Q0	f3643541-c339-4377-851d-144ea400d551
1	f3643541-c339-4377-851d-144ea400d551_1	f3643541-c339-4377-851d-144ea400d551_Q1	f3643541-c339-4377-851d-144ea400d551
27	f3643541-c339-4377-851d-144ea400d551_3	f3643541-c339-4377-851d-144ea400d551_Q2	f3643541-c339-4377-851d-144ea400d551
1	f3643541-c339-4377-851d-144ea400d551_2	f3643541-c339-4377-851d-144ea400d551_Q3	f3643541-c339-4377-851d-144ea400d551
4	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_0	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q0	2ef3788f-6b2b-45c8-b6ba-71450d565e6a
4	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_2	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q1	2ef3788f-6b2b-45c8-b6ba-71450d565e6a
0	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_0	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q2	2ef3788f-6b2b-45c8-b6ba-71450d565e6a
5	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_3	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q3	2ef3788f-6b2b-45c8-b6ba-71450d565e6a
8	9a66b66d-034d-495e-a60e-e22c25e0e0fa_0	9a66b66d-034d-495e-a60e-e22c25e0e0fa_Q0	9a66b66d-034d-495e-a60e-e22c25e0e0fa
9	9a66b66d-034d-495e-a60e-e22c25e0e0fa_3	9a66b66d-034d-495e-a60e-e22c25e0e0fa_Q1	9a66b66d-034d-495e-a60e-e22c25e0e0fa
3	aab4ee80-fc00-4d9c-a127-a63b54dfd193_2	aab4ee80-fc00-4d9c-a127-a63b54dfd193_Q0	aab4ee80-fc00-4d9c-a127-a63b54dfd193
16	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_0	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q0	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e
12	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_0	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q1	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e
5	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_3	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q2	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e
27	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_0	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q3	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e
1	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
5	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_1	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q1	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q2	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
2	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_3	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q3	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
2	8ca3cedb-510e-4454-ba08-93eaa605563b_0	8ca3cedb-510e-4454-ba08-93eaa605563b_Q0	8ca3cedb-510e-4454-ba08-93eaa605563b
4	8ca3cedb-510e-4454-ba08-93eaa605563b_3	8ca3cedb-510e-4454-ba08-93eaa605563b_Q1	8ca3cedb-510e-4454-ba08-93eaa605563b
1	8ca3cedb-510e-4454-ba08-93eaa605563b_0	8ca3cedb-510e-4454-ba08-93eaa605563b_Q2	8ca3cedb-510e-4454-ba08-93eaa605563b
10	8ca3cedb-510e-4454-ba08-93eaa605563b_2	8ca3cedb-510e-4454-ba08-93eaa605563b_Q3	8ca3cedb-510e-4454-ba08-93eaa605563b
6	271616db-90c2-4303-9c2b-64f4061ceb56_1	271616db-90c2-4303-9c2b-64f4061ceb56_Q0	271616db-90c2-4303-9c2b-64f4061ceb56
4	271616db-90c2-4303-9c2b-64f4061ceb56_1	271616db-90c2-4303-9c2b-64f4061ceb56_Q1	271616db-90c2-4303-9c2b-64f4061ceb56
4	271616db-90c2-4303-9c2b-64f4061ceb56_3	271616db-90c2-4303-9c2b-64f4061ceb56_Q2	271616db-90c2-4303-9c2b-64f4061ceb56
2	271616db-90c2-4303-9c2b-64f4061ceb56_4	271616db-90c2-4303-9c2b-64f4061ceb56_Q3	271616db-90c2-4303-9c2b-64f4061ceb56
5	b93f956f-2256-4c6d-91d2-7675dff455f0_0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q0	b93f956f-2256-4c6d-91d2-7675dff455f0
3	b93f956f-2256-4c6d-91d2-7675dff455f0_2	b93f956f-2256-4c6d-91d2-7675dff455f0_Q1	b93f956f-2256-4c6d-91d2-7675dff455f0
7	b93f956f-2256-4c6d-91d2-7675dff455f0_3	b93f956f-2256-4c6d-91d2-7675dff455f0_Q2	b93f956f-2256-4c6d-91d2-7675dff455f0
1	b93f956f-2256-4c6d-91d2-7675dff455f0_4	b93f956f-2256-4c6d-91d2-7675dff455f0_Q3	b93f956f-2256-4c6d-91d2-7675dff455f0
5	d869c6d9-4a06-4d94-bf97-dc37167a5520_0	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q0	d869c6d9-4a06-4d94-bf97-dc37167a5520
3	d869c6d9-4a06-4d94-bf97-dc37167a5520_1	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q1	d869c6d9-4a06-4d94-bf97-dc37167a5520
0	d869c6d9-4a06-4d94-bf97-dc37167a5520_0	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q2	d869c6d9-4a06-4d94-bf97-dc37167a5520
8	d869c6d9-4a06-4d94-bf97-dc37167a5520_3	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q3	d869c6d9-4a06-4d94-bf97-dc37167a5520
7	f7559f25-0358-4f57-b079-dec2199b4ec3_0	f7559f25-0358-4f57-b079-dec2199b4ec3_Q0	f7559f25-0358-4f57-b079-dec2199b4ec3
7	f7559f25-0358-4f57-b079-dec2199b4ec3_1	f7559f25-0358-4f57-b079-dec2199b4ec3_Q1	f7559f25-0358-4f57-b079-dec2199b4ec3
7	f7559f25-0358-4f57-b079-dec2199b4ec3_3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q2	f7559f25-0358-4f57-b079-dec2199b4ec3
4	f7559f25-0358-4f57-b079-dec2199b4ec3_3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q3	f7559f25-0358-4f57-b079-dec2199b4ec3
2	1e379d2b-69e8-485e-92ac-4c3daa41e364_0	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q0	1e379d2b-69e8-485e-92ac-4c3daa41e364
4	1e379d2b-69e8-485e-92ac-4c3daa41e364_0	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q1	1e379d2b-69e8-485e-92ac-4c3daa41e364
4	1e379d2b-69e8-485e-92ac-4c3daa41e364_1	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q2	1e379d2b-69e8-485e-92ac-4c3daa41e364
2	1e379d2b-69e8-485e-92ac-4c3daa41e364_0	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q3	1e379d2b-69e8-485e-92ac-4c3daa41e364
2	0dd3e2c3-3ea4-450a-97c4-42a54c426018_0	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q0	0dd3e2c3-3ea4-450a-97c4-42a54c426018
1	0dd3e2c3-3ea4-450a-97c4-42a54c426018_1	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q1	0dd3e2c3-3ea4-450a-97c4-42a54c426018
4	0dd3e2c3-3ea4-450a-97c4-42a54c426018_3	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q2	0dd3e2c3-3ea4-450a-97c4-42a54c426018
8	0dd3e2c3-3ea4-450a-97c4-42a54c426018_1	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q3	0dd3e2c3-3ea4-450a-97c4-42a54c426018
4	865db3c4-a253-4d35-8766-25fc7e0a8cfb_0	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q0	865db3c4-a253-4d35-8766-25fc7e0a8cfb
2	865db3c4-a253-4d35-8766-25fc7e0a8cfb_2	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q1	865db3c4-a253-4d35-8766-25fc7e0a8cfb
1	865db3c4-a253-4d35-8766-25fc7e0a8cfb_1	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q2	865db3c4-a253-4d35-8766-25fc7e0a8cfb
1	865db3c4-a253-4d35-8766-25fc7e0a8cfb_0	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q3	865db3c4-a253-4d35-8766-25fc7e0a8cfb
0	88fba119-ccac-4b82-881f-e609e188bebc_0	88fba119-ccac-4b82-881f-e609e188bebc_Q0	88fba119-ccac-4b82-881f-e609e188bebc
2	88fba119-ccac-4b82-881f-e609e188bebc_2	88fba119-ccac-4b82-881f-e609e188bebc_Q1	88fba119-ccac-4b82-881f-e609e188bebc
4	88fba119-ccac-4b82-881f-e609e188bebc_4	88fba119-ccac-4b82-881f-e609e188bebc_Q2	88fba119-ccac-4b82-881f-e609e188bebc
1	88fba119-ccac-4b82-881f-e609e188bebc_1	88fba119-ccac-4b82-881f-e609e188bebc_Q3	88fba119-ccac-4b82-881f-e609e188bebc
1	1cc75245-93bd-44cc-b076-8d1b249e1ee5_1	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q0	1cc75245-93bd-44cc-b076-8d1b249e1ee5
3	1cc75245-93bd-44cc-b076-8d1b249e1ee5_2	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q1	1cc75245-93bd-44cc-b076-8d1b249e1ee5
1	1cc75245-93bd-44cc-b076-8d1b249e1ee5_3	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q2	1cc75245-93bd-44cc-b076-8d1b249e1ee5
2	1cc75245-93bd-44cc-b076-8d1b249e1ee5_3	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q3	1cc75245-93bd-44cc-b076-8d1b249e1ee5
3	bfa4ef8c-715d-4287-88a5-035611e34e40_0	bfa4ef8c-715d-4287-88a5-035611e34e40_Q0	bfa4ef8c-715d-4287-88a5-035611e34e40
3	bfa4ef8c-715d-4287-88a5-035611e34e40_0	bfa4ef8c-715d-4287-88a5-035611e34e40_Q1	bfa4ef8c-715d-4287-88a5-035611e34e40
4	bfa4ef8c-715d-4287-88a5-035611e34e40_2	bfa4ef8c-715d-4287-88a5-035611e34e40_Q2	bfa4ef8c-715d-4287-88a5-035611e34e40
4	bfa4ef8c-715d-4287-88a5-035611e34e40_2	bfa4ef8c-715d-4287-88a5-035611e34e40_Q3	bfa4ef8c-715d-4287-88a5-035611e34e40
